X,Y,object_id,id,description,code_esirius,www_photo,type,commune,code_officiel_geographique,adresse,code_postal,ville,tel,fax,horaires,has_dab_interne,has_dab_externe,has_conseiller_financier,has_conseiller_telecom,has_conseiller_polyvalent,global_id,has_conseiller_postal,created_user,created_date,last_edit_user,last_edited_date
447804.270000003,214785.029999999,1065,4313,Agence de NOUMEA MAGENTA,site2,,Agence,NOUMEA MAGENTA,98818,35 RUE DU 18 JUIN,98800,NOUMÉA,268686,287100,"LU : 
MA : 
ME : 
JE : 
VE : 
SA : 07:45-11:00
DI :",1,1,1,1,0,{FF710863-8582-4BD9-BFDE-0289CCE624D9},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
446772.509999998,212851.24,1066,4169,Agence de NOUMEA SUD N'GEA,site4,,Annexe,NOUMEA SUD N'GEA,98818,28 RUE HENRI GASPARD,98800,NOUMÉA,268665,286394,"LU : 07:45-12:00/12:00-15:00
MA : 07:45-12:00/12:00-15:00
ME : 07:45-12:00/12:00-15:00
JE : 07:45-12:00/12:00-15:00
VE : 07:45-12:00/12:00-15:00
SA : 
DI :",1,1,0,1,0,{D45F4742-1919-40CC-B158-78995EC040F3},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
445672.850000001,214091.58,1068,4314,Agence de NOUMEA AGENCE PRINCIPALE,site1,,Agence,NOUMEA AGENCE PRINCIPALE,98818,7 RUE EUGÈNE PORCHERON,98800,NOUMÉA,268400,278230,"LU : 
MA : 
ME : 
JE : 
VE : 
SA : 07:45-11:00
DI :",1,1,1,1,0,{64138C77-CB3B-441F-A3AF-27D6F60C970D},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
445241.079999998,214674.689999999,1069,4328,Agence ENTREPRISES,site3,,Agence," ENTREPRISES",98818,9 RUE DU GÉNÉRAL GALLIENI,98800,NOUMEA,1016,267794,"LU : 07:45-12:00/12:00-15:30
MA : 07:45-12:00/12:00-15:30
ME : 07:45-12:00/12:00-15:30
JE : 07:45-12:00/12:00-15:30
VE : 07:45-12:00/12:00-15:30
SA : 
DI :",0,0,0,1,0,{B56FA5C7-03AE-4855-AC79-BC64BAA4EBA4},1,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
445672.850000001,214091.58,1070,4176,Centre de Distribution du Courrier,,,Cdc,Centre de Distribution du Courrier,98818,7 RUE EUGÈNE PORCHERON,98800,NOUMEA,1000,,"LU : 
MA : 
ME : 
JE : 
VE : 
SA : 
DI :",0,0,0,0,0,{ACC4D8CA-0BC4-49A5-9C6D-2680AE08402E},,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
446400.659999996,218117.880000001,1071,1151,Centre de Traitement Postal,site6,,Ctc,Centre de Traitement Postal,98818,15 RUE FERNAND FOREST,98800,NOUMEA,1000,,"LU : 07:45-12:00/12:00-15:30
MA : 07:45-12:00/12:00-15:30
ME : 07:45-12:00/12:00-15:30
JE : 07:45-12:00/12:00-15:30
VE : 07:45-12:00/12:00-15:30
SA : 
DI :",,1,,,,{A18AA4C1-97CE-44AA-99BA-6A542304C338},1,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
445672.850000001,214091.58,1072,4177,Agence philatélique,,,Agence," philatélique",98818,7 Rue Eugène PORCHERON,98800,NOUMEA,268412,291998,"LU : 08:00-12:00
MA : 08:00-12:00
ME : 08:00-12:00
JE : 08:00-12:00
VE : 08:00-12:00
SA : 
DI :",0,0,0,0,0,{992DE7DF-34DF-4C40-8F8A-E867D10684D5},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
462833.1373,416158.669,1332,4317,Agence de OUVEA SAINT JOSEPH,,,Annexe,OUVEA SAINT JOSEPH,98820,VILLAGE DE SAINT-JOSEPH,98814,FAYAOUE,206500,440182,"LU : 08:30-12:00
MA : 
ME : 08:30-12:00
JE : 
VE : 08:30-12:00
SA : 
DI :",0,1,0,0,0,{55220498-FB80-41A9-9573-2871F19BDB97},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
446300.130000003,221711.07,1972,4329,Centre de Distribution du Courrier de DUMBEA,,,Cdc,Centre de Distribution du Courrier de DUMBEA,98805,247 AVENUE DES VOYAGES,98835,DUMBEA,,,"LU : 07:45-12:00/12:00-15:30
MA : 07:45-12:00/12:00-15:30
ME : 07:45-12:00/12:00-15:30
JE : 07:45-12:00/12:00-15:30
VE : 07:45-12:00/12:00-15:30
SA : 
DI :",0,0,0,0,0,{A952C8EF-AE8E-46D1-AF75-AAC3922955DD},0,OPT_NC,2021/07/05 23:00:03+00,OPT_NC,2021/07/05 23:00:03+00
445672.850000001,214091.58,1973,14051,AGENCE COMPTABLE - CAVEAU,,,Agence,AGENCE COMPTABLE - CAVEAU,98818,7 Rue Eugène PORCHERON,98800,NOUMEA,,,"LU : 
MA : 
ME : 
JE : 
VE : 
SA : 
DI :",0,0,0,0,0,{BF893D62-4942-4510-8C03-EDA682D7C913},0,OPT_NC,2021/11/16 18:50:21+00,OPT_NC,2021/11/16 18:50:21+00
